State,Guns_Registered,Population
Texas,588696,29945493
California,344622,39995077
Florida,343288,22085563
Virginia,307822,8757467
Pennsylvania,236377,13062764
Georgia,190050,10916760
Arizona,179738,7303398
Ohio,173405,11852036
Alabama,161641,5073187
North Carolina,152238,10620168
Illinois,146487,12808884
Wyoming,132806,579495
Louisiana,116831,4682633
Indiana,114019,6845874
South Carolina,105601,5217037
Maryland,103109,6257958
Tennessee,99159,7023788
New Mexico,97580,2129190
Colorado,92435,5922618
Washington,91835,7901429
Connecticut,82400,3612314
Kentucky,81068,4539130
Arkansas,79841,3030646
Minnesota,79307,5787008
Nevada,76888,3185426
New York,76207,20365879
Missouri,72996,6188111
Utah,72856,3373162
Oklahoma,71269,4000953
Michigan,65742,10116069
Wisconsin,64878,5935064
New Hampshire,64135,1389741
Oregon,61383,4318492
New Jersey,57507,9388414
Kansas,52634,2954832
Idaho,49566,1893410
Massachusetts,37152,7126375
Rhode Island,37152,1106341
Mississippi,35494,2960075
West Virginia,35264,1781860
Iowa,28494,3219171
Nebraska,22234,1988536
Montana,22133,1103187
South Dakota,21130,901165
Alaska,15824,738023
Maine,15371,1369159
North Dakota,13272,800394
Hawaii,7859,1474265
Vermont,5872,646545
Delaware,4852,1008350
